station,arrondissement,mm,dd,wday,dur
Fortune / Wellington,Le Sud-Ouest,6,7,Wednesday,10.65974826
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,9,25,Monday,13.45478103
de Bullion / St-Joseph,Le Plateau-Mont-Royal,7,5,Wednesday,12.02772907
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,8,30,Wednesday,9.943965152
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,6,21,Wednesday,21.37745317
Pontiac / Gilford,Le Plateau-Mont-Royal,5,16,Tuesday,7.612453756
Egan / Laurendeau,Le Sud-Ouest,8,7,Monday,14.36155595
de Grosbois / Duchesneau,Mercier - Hochelaga-Maisonneuve,9,30,Saturday,7.491616667
Nicolet / Sherbrooke,Mercier - Hochelaga-Maisonneuve,9,21,Thursday,16.14767229
12e avenue / St-Zotique,Rosemont - La Petite-Patrie,6,20,Tuesday,17.01769915
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,5,14,Sunday,13.45713417
Ann / Wellington,Le Sud-Ouest,6,4,Sunday,18.93394479
Parc Plage,Ville-Marie,7,23,Sunday,24.96531082
Durocher / Beaumont,Villeray - Saint-Michel - Parc-Extension,9,16,Saturday,14.92347138
Egan / Laurendeau,Le Sud-Ouest,9,20,Wednesday,16.27865833
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,9,27,Wednesday,12.35360263
Pontiac / Gilford,Le Plateau-Mont-Royal,7,4,Tuesday,9.86925378
Ste-Catherine / Dezery,Mercier - Hochelaga-Maisonneuve,10,27,Friday,14.37531814
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,8,24,Thursday,21.392982
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,6,15,Thursday,14.21697204
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,9,5,Tuesday,11.92165032
